City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
25,Coahuayana,MX,2021-03-21 16:36:58,18.7333,-103.6833,80.6,32,1,5.3
26,Slave Lake,CA,2021-03-21 16:36:58,55.2834,-114.769,21.2,73,1,6.91
27,Roswell,US,2021-03-21 16:36:58,34.0232,-84.3616,57.99,51,90,6.91
28,Acapulco,MX,2021-03-21 16:32:00,16.8634,-99.8901,82.4,69,40,3.44
29,Kapoeta,SS,2021-03-21 16:36:59,4.7717,33.5903,89.19,32,54,9.35
30,Cockburn Town,TC,2021-03-21 16:33:17,21.4612,-71.1419,76.95,78,2,18.59
31,Aras,ES,2021-03-21 16:36:59,42.5617,-2.356,53.6,50,40,11.5
32,Ust-Nera,RU,2021-03-21 16:37:00,64.5667,143.2,-6.12,98,92,4.9
33,Georgetown,MY,2021-03-21 16:32:17,5.4112,100.3354,84.2,74,20,5.75
34,Derzhavinsk,KZ,2021-03-21 16:37:00,51.1,66.3167,26.55,96,100,7.87
35,Goundam,ML,2021-03-21 16:37:01,16.4145,-3.6708,99.55,9,54,6.17
36,Hithadhoo,MV,2021-03-21 16:37:01,-0.6,73.0833,83.08,75,100,10.31
37,Santa Fe Do Sul,BR,2021-03-21 16:37:02,-20.2111,-50.9258,89.13,46,17,6.6
38,Brewster,US,2021-03-21 16:37:02,41.3973,-73.6171,60.8,21,1,1.72
39,Necochea,AR,2021-03-21 16:37:03,-38.5473,-58.7368,64.99,61,0,4.0
40,Saskylakh,RU,2021-03-21 16:37:03,71.9167,114.0833,-30.28,99,83,2.42
41,Dwarka,IN,2021-03-21 16:37:03,22.2394,68.9678,77.49,80,0,14.52
42,Taguatinga,BR,2021-03-21 16:37:04,-12.3857,-46.5711,86.65,53,20,7.78
43,Hermanus,ZA,2021-03-21 16:37:04,-34.4187,19.2345,68.0,66,0,5.99
44,Bluff,NZ,2021-03-21 16:37:04,-46.6,168.3333,53.01,95,90,3.0
45,Atuona,PF,2021-03-21 16:37:05,-9.8,-139.0333,80.01,77,10,13.58
46,Saint George,US,2021-03-21 16:37:05,37.1041,-113.5841,53.01,49,1,5.75
47,Khanu Woralaksaburi,TH,2021-03-21 16:37:05,16.0617,99.8606,84.99,57,15,6.78
48,Tasiilaq,GL,2021-03-21 16:37:06,65.6145,-37.6368,35.6,93,90,13.8
49,Alofi,NU,2021-03-21 16:37:06,-19.0595,-169.9187,75.2,94,100,6.91
50,Sao Filipe,CV,2021-03-21 16:37:07,14.8961,-24.4956,73.6,62,91,12.55
51,Celestun,MX,2021-03-21 16:37:07,20.8667,-90.4,75.2,56,0,7.16
52,Fort Frances,CA,2021-03-21 16:35:40,48.5999,-93.4003,53.01,46,1,11.5
53,Altay,CN,2021-03-21 16:37:07,47.8667,88.1167,32.67,34,99,3.31
54,Ostrovnoy,RU,2021-03-21 16:37:08,68.0531,39.5131,21.78,90,100,5.61
55,Faanui,PF,2021-03-21 16:37:08,-16.4833,-151.75,83.5,68,55,9.19
56,Orlik,RU,2021-03-21 16:37:09,52.5178,99.825,18.9,66,100,3.58
57,Hobart,AU,2021-03-21 16:32:41,-42.8794,147.3294,60.8,77,90,8.05
58,Leningradskiy,RU,2021-03-21 16:37:09,69.3833,178.4167,-11.06,97,100,9.01
59,Zelezniki,SI,2021-03-21 16:37:09,46.2333,14.1667,42.8,39,75,8.05
60,Busselton,AU,2021-03-21 16:37:10,-33.65,115.3333,64.99,90,76,11.16
61,Olbia,IT,2021-03-21 16:37:10,40.9214,9.4856,48.2,46,40,16.11
62,Lorengau,PG,2021-03-21 16:37:11,-2.0226,147.2712,82.69,72,26,5.01
63,Piacabucu,BR,2021-03-21 16:37:11,-10.4056,-36.4344,84.74,62,87,10.98
64,Upernavik,GL,2021-03-21 16:37:12,72.7868,-56.1549,-10.77,90,100,6.49
65,Cherskiy,RU,2021-03-21 16:33:11,68.75,161.3,-15.61,73,0,5.91
66,Mataura,NZ,2021-03-21 16:37:12,-46.1927,168.8643,53.01,95,100,3.0
67,Kloulklubed,PW,2021-03-21 16:37:13,7.0419,134.2556,77.0,88,75,3.44
68,Petatlan,MX,2021-03-21 16:37:13,17.5167,-101.2667,84.2,65,1,6.22
69,Port Alfred,ZA,2021-03-21 16:37:14,-33.5906,26.891,65.28,69,84,14.76
70,Cidreira,BR,2021-03-21 16:37:14,-30.1811,-50.2056,76.87,86,100,11.88
71,Skovorodino,RU,2021-03-21 16:37:14,53.9833,123.9167,13.19,90,81,2.73
72,Canavieiras,BR,2021-03-21 16:37:14,-15.675,-38.9472,87.8,70,75,6.91
73,Roald,NO,2021-03-21 16:37:15,62.5833,6.1333,37.4,81,75,18.41
74,Yellowknife,CA,2021-03-21 16:35:01,62.456,-114.3525,-2.99,65,20,11.5
75,Matara,LK,2021-03-21 16:37:16,5.9485,80.5353,76.66,89,100,4.29
76,Sunndalsora,NO,2021-03-21 16:37:16,62.6754,8.5515,35.6,87,75,12.66
77,Todos Santos,MX,2021-03-21 16:37:16,23.45,-110.2167,86.0,20,0,6.89
78,Constitucion,CL,2021-03-21 16:37:17,-35.3333,-72.4167,66.6,61,2,7.25
79,Bati,ET,2021-03-21 16:37:17,11.1833,40.0167,67.06,20,18,5.12
80,Qandala,SO,2021-03-21 16:37:17,11.472,49.8728,78.3,64,0,3.51
81,Masterton,NZ,2021-03-21 16:37:18,-40.9597,175.6575,53.01,86,72,1.99
82,Nikolskoye,RU,2021-03-21 16:37:18,59.7035,30.7861,33.8,80,90,17.9
83,Gumdag,TM,2021-03-21 16:37:19,39.2061,54.5906,58.08,44,67,11.3
84,Pangnirtung,CA,2021-03-21 16:37:19,66.1451,-65.7125,-16.6,76,20,3.44
85,Ingham,US,2021-03-21 16:37:19,42.6,-84.3833,59.0,21,1,9.22
86,Hami,CN,2021-03-21 16:37:20,42.8,93.45,45.77,13,0,6.58
87,Dashitou,CN,2021-03-21 16:37:20,43.3067,128.5114,24.8,80,0,12.12
88,Goderich,CA,2021-03-21 16:37:20,43.7501,-81.7165,55.4,22,0,10.36
89,Tymovskoye,RU,2021-03-21 16:37:21,50.8456,142.655,20.43,94,100,3.15
90,Portland,US,2021-03-21 16:34:31,45.5234,-122.6762,44.6,70,90,5.75
91,Micheweni,TZ,2021-03-21 16:37:21,-4.9667,39.8333,82.65,72,10,8.57
92,Carnarvon,AU,2021-03-21 16:37:21,-24.8667,113.6333,78.8,69,0,9.22
93,Airai,TL,2021-03-21 16:37:22,-8.9266,125.4092,61.05,86,66,1.68
94,La Ronge,CA,2021-03-21 16:37:22,55.1001,-105.2842,21.2,53,100,16.11
95,Uwajima,JP,2021-03-21 16:37:22,33.2238,132.56,49.59,73,94,20.71
