City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
126,Langarud,IR,37.197,50.1535,53.6,94,75,4.61,mist
127,Henties Bay,NA,-22.116,14.2845,63.0,93,0,3.0,clear sky
128,Taquaritinga Do Norte,BR,-7.9031,-36.0442,72.21,73,18,11.99,few clouds
129,Punta Arenas,CL,-53.15,-70.9167,48.2,76,75,18.41,light rain
130,Porbandar,IN,21.6422,69.6093,76.71,59,0,8.59,clear sky
131,Lavrentiya,RU,65.5833,-171.0,12.29,94,100,15.08,snow
132,Saint-Louis,SN,16.3333,-15.0,91.4,17,0,2.3,clear sky
133,Jeremoabo,BR,-10.075,-38.4808,85.24,40,50,15.66,scattered clouds
134,Faanui,PF,-16.4833,-151.75,83.68,73,8,20.98,clear sky
135,Chuy,UY,-33.6971,-53.4616,67.84,74,36,7.81,scattered clouds
136,Butaritari,KI,3.0707,172.7902,81.91,78,60,20.4,light rain
137,Cidreira,BR,-30.1811,-50.2056,71.85,92,100,7.45,overcast clouds
138,Comodoro Rivadavia,AR,-45.8667,-67.5,68.0,17,0,23.02,clear sky
139,Longyearbyen,SJ,78.2186,15.6401,24.8,68,40,4.61,scattered clouds
140,Klaksvik,FO,62.2266,-6.589,39.2,81,75,47.18,broken clouds
141,Iqaluit,CA,63.7506,-68.5145,-16.01,63,20,20.71,snow
142,Esperance,AU,-33.8667,121.9,57.2,77,90,2.3,overcast clouds
143,Inzer,RU,54.2167,57.5556,26.06,95,100,5.41,snow
144,Ahipara,NZ,-35.1667,173.1667,67.71,57,1,4.38,clear sky
145,Hofn,IS,64.2539,-15.2082,34.47,46,61,9.24,broken clouds
146,Ponta Do Sol,PT,32.6667,-17.1,55.99,59,38,1.99,scattered clouds
147,Skibotn,NO,69.3913,20.2679,34.0,86,75,6.91,light snow
148,Qaanaaq,GL,77.484,-69.3632,-18.27,63,99,4.99,overcast clouds
149,Mabaruma,GY,8.2,-59.7833,77.18,75,93,6.42,overcast clouds
150,Lebu,CL,-37.6167,-73.65,60.13,86,11,14.63,few clouds
151,Mana,GF,5.6592,-53.7767,76.82,89,97,11.39,overcast clouds
152,Penzance,GB,50.1186,-5.5371,48.2,93,75,10.36,haze
153,Khandyga,RU,62.6667,135.6,-13.49,96,100,3.51,overcast clouds
154,Codrington,AU,-38.2667,141.9667,61.68,95,100,17.11,overcast clouds
155,Elko,US,41.0002,-115.5012,39.0,57,100,11.99,overcast clouds
156,Yar-Sale,RU,66.8333,70.8333,11.7,99,99,8.03,overcast clouds
157,Bambous Virieux,MU,-20.3428,57.7575,79.0,94,40,6.78,scattered clouds
158,Cukai,MY,4.25,103.4167,80.6,89,100,4.61,overcast clouds
159,Novyy Urengoy,RU,66.0833,76.6333,20.5,94,100,11.5,overcast clouds
160,Half Moon Bay,US,37.4636,-122.4286,66.0,25,1,14.97,clear sky
161,Mehamn,NO,71.0357,27.8492,33.8,80,90,42.57,light rain
162,Dingle,PH,10.9995,122.6711,75.49,90,95,8.32,overcast clouds
163,Belaya Gora,RU,68.5333,146.4167,-11.13,94,100,10.2,overcast clouds
164,Rudnaya Pristan,RU,44.3614,135.8116,31.37,86,49,6.11,scattered clouds
165,Neryungri,RU,56.6709,124.6491,-11.67,97,95,2.77,overcast clouds
166,Georgetown,MY,5.4112,100.3354,81.0,94,40,1.14,scattered clouds
167,Tautira,PF,-17.7333,-149.15,87.8,70,75,11.5,light rain
168,Tual,ID,-5.6667,132.75,83.8,71,79,5.23,broken clouds
169,Tsiroanomandidy,MG,-18.7667,46.0333,67.48,97,100,2.89,light rain
170,Tarpa,HU,48.1048,22.5374,37.4,70,90,8.05,overcast clouds
171,Zabol,AF,32.25,67.25,47.93,48,0,7.7,clear sky
172,Kodiak,US,57.79,-152.4072,35.6,69,90,5.75,overcast clouds
173,Jamestown,US,42.097,-79.2353,64.0,23,1,9.82,clear sky
174,Sitka,US,57.0531,-135.33,39.2,93,90,4.61,mist
175,Chokurdakh,RU,70.6333,147.9167,-10.03,94,100,12.66,overcast clouds
176,Birjand,IR,32.8663,59.2211,46.4,17,0,4.61,clear sky
177,Chekhov,RU,55.1431,37.4711,28.4,59,40,6.71,scattered clouds
178,Saint-Philippe,RE,-21.3585,55.7679,78.8,83,75,4.61,broken clouds
179,Ivanovka,KG,42.8878,75.085,37.4,87,90,4.47,overcast clouds
180,Ajdabiya,LY,30.7554,20.2263,58.82,53,5,25.93,clear sky
181,Saint Anthony,US,45.0205,-93.218,55.0,71,90,8.05,moderate rain
182,Thompson,CA,55.7435,-97.8558,10.4,44,20,5.95,few clouds
183,Provideniya,RU,64.3833,-173.3,21.13,96,100,13.49,snow
184,Cabo San Lucas,MX,22.8909,-109.9124,77.0,40,20,17.27,few clouds
185,Krasnoselkup,RU,65.7,82.4667,18.64,94,100,15.95,overcast clouds
186,Riyadh,SA,24.6877,46.7219,84.2,12,0,8.05,clear sky
187,Stykkisholmur,IS,65.0757,-22.7297,33.13,72,92,5.21,overcast clouds
188,Vostok,RU,46.4856,135.8833,7.43,93,58,4.59,broken clouds
189,Port Blair,IN,11.6667,92.75,81.25,75,100,3.33,overcast clouds
190,Saint-Augustin,CA,51.226,-58.6502,36.73,100,100,5.7,overcast clouds
191,Znamenskoye,RU,57.1281,73.8282,8.51,98,93,2.59,overcast clouds
192,Namatanai,PG,-3.6667,152.4333,78.93,83,99,7.0,light rain
193,Narsaq,GL,60.9167,-46.05,23.0,50,75,2.3,broken clouds
194,George,ZA,-33.963,22.4617,64.4,100,75,1.14,broken clouds
195,Evensk,RU,61.95,159.2333,12.45,92,92,3.78,overcast clouds
196,Gat,IL,31.61,34.7642,64.0,100,96,11.92,overcast clouds
197,Dicabisagan,PH,17.0818,122.4157,74.28,90,59,1.95,broken clouds
198,Thatta,PK,24.7475,67.9235,75.52,66,0,9.33,clear sky
199,Aripuana,BR,-9.1667,-60.6333,76.59,85,100,1.16,overcast clouds
200,Puerto Escondido,MX,15.85,-97.0667,87.8,70,1,19.57,clear sky
201,Galle,LK,6.0367,80.217,76.91,86,97,7.63,overcast clouds
202,Yeppoon,AU,-23.1333,150.7333,78.8,94,75,9.22,broken clouds
203,Rocha,UY,-34.4833,-54.3333,68.88,72,51,8.34,broken clouds
204,Karpathos,GR,35.507,27.2132,51.8,87,100,12.66,light rain
205,Ahuimanu,US,21.4447,-157.8378,78.8,61,75,4.61,broken clouds
206,Wanaka,NZ,-44.7,169.15,55.6,88,98,2.55,overcast clouds
207,Acapulco,MX,16.8634,-99.8901,82.4,61,1,10.36,clear sky
208,Locri,IT,38.2414,16.2623,51.8,50,40,16.11,scattered clouds
209,Calama,CL,-22.4667,-68.9333,73.4,14,0,21.85,clear sky
210,Qingdao,CN,36.0986,120.3719,48.99,61,0,4.47,clear sky
211,Grand Gaube,MU,-20.0064,57.6608,79.0,88,1,1.01,light rain
212,Yizheng,CN,24.6706,103.4296,44.71,96,4,3.24,clear sky
213,Poso,ID,-1.3959,120.7524,75.72,86,97,4.03,overcast clouds
214,San Felipe,VE,10.3399,-68.7425,79.05,77,77,7.9,broken clouds
215,Oranjemund,NA,-28.55,16.4333,66.27,75,0,1.45,clear sky
216,Marawi,PH,7.9986,124.2928,75.0,91,92,5.01,overcast clouds
217,Velsk,RU,61.0701,42.0983,25.03,85,100,11.52,overcast clouds
218,Komsomolskiy,UZ,40.4272,71.7189,48.2,76,22,4.61,few clouds
219,Laguna,US,38.421,-121.4238,68.0,24,1,28.77,clear sky
220,Beroroha,MG,-21.6667,45.1667,73.42,92,13,1.07,few clouds
221,Pangnirtung,CA,66.1451,-65.7125,-23.8,62,20,2.3,few clouds
222,Beringovskiy,RU,63.05,179.3167,30.31,82,80,23.06,broken clouds
223,Westport,US,41.1415,-73.3579,61.0,71,1,8.05,clear sky
224,Varhaug,NO,58.6147,5.6457,42.01,89,57,1.01,broken clouds
225,Port Elizabeth,ZA,-33.918,25.5701,66.2,88,20,10.36,few clouds
226,Port Hardy,CA,50.6996,-127.4199,44.6,81,90,10.36,overcast clouds
227,Killybegs,IE,54.6333,-8.45,44.06,73,76,16.62,broken clouds
228,Alice Springs,AU,-23.7,133.8833,64.4,100,40,3.44,scattered clouds
229,Puerto Madryn,AR,-42.7692,-65.0385,80.89,20,95,21.45,overcast clouds
230,Armidale,AU,-30.5167,151.65,57.0,95,99,1.99,overcast clouds
231,Kampong Thum,KH,12.7111,104.8887,75.88,58,100,5.03,overcast clouds
232,Berlevag,NO,70.8578,29.0864,33.8,75,75,41.43,light snow
233,Katsuura,JP,35.1333,140.3,48.2,71,20,5.75,few clouds
234,Ribeira Grande,PT,38.5167,-28.7,55.4,62,40,8.05,scattered clouds
235,Bay Roberts,CA,47.5999,-53.2648,50.0,34,75,21.85,broken clouds
236,Nouadhibou,MR,20.931,-17.0347,62.6,94,0,16.11,clear sky
237,Micheweni,TZ,-4.9667,39.8333,81.75,72,0,6.26,clear sky
238,Sorland,NO,67.667,12.6934,37.4,93,75,9.22,light rain
239,San Lazaro,BZ,18.0387,-88.6622,86.0,70,40,11.5,scattered clouds
240,Tuatapere,NZ,-46.1333,167.6833,54.0,98,100,1.99,overcast clouds
241,Selma,US,36.5708,-119.6121,64.0,45,20,5.75,few clouds
242,Ulladulla,AU,-35.35,150.4667,71.01,64,20,25.32,few clouds
243,Bonavista,CA,48.6499,-53.1147,48.2,40,52,12.66,broken clouds
244,Oyotun,PE,-6.8519,-79.3036,80.6,57,0,20.71,light rain
245,Masunga,BW,-20.6246,27.4488,66.18,74,67,14.47,broken clouds
246,Khawhai,IN,23.3667,93.1167,53.38,30,0,3.15,clear sky
247,Nipawin,CA,53.3668,-104.0009,15.8,53,1,8.05,clear sky
248,Marsta,SE,59.6216,17.8548,42.01,65,0,9.22,clear sky
249,Nuuk,GL,64.1835,-51.7216,10.4,61,75,12.66,broken clouds
250,Ushtobe,KZ,45.2514,77.9838,39.58,65,100,12.86,overcast clouds
251,Datong,CN,40.0936,113.2914,39.42,38,92,7.96,overcast clouds
252,Portland,US,45.5234,-122.6762,55.0,50,20,3.44,few clouds
253,Port-Gentil,GA,-0.7193,8.7815,82.4,78,20,8.05,few clouds
254,Hobyo,SO,5.3505,48.5268,78.62,59,22,12.19,few clouds
255,Kozhva,RU,65.1073,57.0459,10.2,97,90,6.42,overcast clouds
256,Makakilo City,US,21.3469,-158.0858,77.0,73,1,8.05,clear sky
257,Puerto Del Rosario,ES,28.5004,-13.8627,68.0,45,0,9.22,clear sky
258,Bereda,ES,43.2686,-7.5406,54.0,71,75,3.44,broken clouds
259,Polewali,ID,-3.4324,119.3435,75.94,81,100,3.4,overcast clouds
260,Severo-Kurilsk,RU,50.6789,156.125,28.81,85,19,11.43,few clouds
261,Diamantino,BR,-14.4086,-56.4461,79.5,79,53,4.85,broken clouds
262,Hervey Bay,AU,-25.2986,152.8535,75.0,94,90,10.36,light rain
263,Copiapo,CL,-27.3667,-70.3333,66.2,68,20,12.66,few clouds
264,Marsa Matruh,EG,31.3525,27.2453,62.6,36,5,26.46,sand
265,El Espino De Santa Rosa,PA,8.1,-80.8167,93.07,35,97,11.81,overcast clouds
266,Whitehorse,CA,60.7161,-135.0538,26.01,73,75,8.05,broken clouds
267,Lima,PE,-12.0432,-77.0282,77.0,64,0,14.97,clear sky
268,Itupiranga,BR,-5.1347,-49.3267,89.6,55,20,3.44,few clouds
269,Kargil,IN,34.5667,76.1,15.42,81,100,3.65,overcast clouds
270,Safaga,EG,26.7292,33.9365,78.8,61,0,13.8,clear sky
271,Havre-Saint-Pierre,CA,50.2334,-63.5986,41.0,65,1,14.97,clear sky
272,Coihaique,CL,-45.5752,-72.0662,55.4,44,75,4.61,broken clouds
273,Staryy Nadym,RU,65.6118,72.6842,17.33,96,69,11.5,broken clouds
274,Lamesa,US,32.7376,-101.951,66.99,22,0,1.99,clear sky
275,Yatou,CN,37.15,122.3833,43.32,91,51,9.17,broken clouds
276,Ratodero,PK,27.803,68.2871,73.4,68,0,6.11,haze
277,Touros,BR,-5.1989,-35.4608,80.6,78,20,11.5,few clouds
278,Zapolyarnyy,RU,69.4154,30.8136,32.0,69,0,25.32,clear sky
