City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
89,Hithadhoo,MV,83.01,overcast clouds,-0.6,73.0833,Scoop Guest House
91,Benguela,AO,78.39,light rain,-12.5763,13.4055,Hotel Praia Morena
93,Arraial Do Cabo,BR,78.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
95,Bathsheba,BB,80.6,few clouds,13.2167,-59.5167,Atlantis Hotel
96,Pisco,PE,75.2,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
97,Ko Samui,TH,82.47,overcast clouds,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
98,Alofi,NU,84.2,overcast clouds,-19.0595,-169.9187,Taloa Heights
100,Kaura Namoda,NG,88.52,broken clouds,12.5898,6.5779,Moonlight Hotel
101,Isiolo,KE,75.97,overcast clouds,0.3546,37.5822,Gaddisa Hotel
106,Nioro,GM,80.02,broken clouds,13.35,-15.75,
114,Rawson,AR,78.62,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
115,Hilo,US,80.6,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
116,Save,BJ,80.65,overcast clouds,8.0425,2.4859999999999998,Restaurant Plazza Hotel
119,Vao,NC,75.34,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
120,Denpasar,ID,80.6,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
121,Sikandra Rao,IN,75.63,overcast clouds,27.7,78.4,Murli Krishna Mangal Dham
124,Sao Jose Da Coroa Grande,BR,79.99,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
125,Kahului,US,80.6,few clouds,20.8947,-156.47,Maui Seaside Hotel
130,Porbandar,IN,76.71,clear sky,21.6422,69.6093,Lords Inn Porbandar
133,Jeremoabo,BR,85.24,scattered clouds,-10.075,-38.4808,
134,Faanui,PF,83.68,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
136,Butaritari,KI,81.91,light rain,3.0707,172.7902,Isles Sunset Lodge
149,Mabaruma,GY,77.18,overcast clouds,8.2,-59.7833,
151,Mana,GF,76.82,overcast clouds,5.6592,-53.7767,LE SAMANA
157,Bambous Virieux,MU,79.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
158,Cukai,MY,80.6,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
162,Dingle,PH,75.49,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
166,Georgetown,MY,81.0,scattered clouds,5.4112,100.3354,Cititel Penang
167,Tautira,PF,87.8,light rain,-17.7333,-149.15,Pension Oaoa
168,Tual,ID,83.8,broken clouds,-5.6667,132.75,Grand Vilia Hotel
178,Saint-Philippe,RE,78.8,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
184,Cabo San Lucas,MX,77.0,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
186,Riyadh,SA,84.2,clear sky,24.6877,46.7219,InterContinental Riyadh
189,Port Blair,IN,81.25,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
192,Namatanai,PG,78.93,light rain,-3.6667,152.4333,Namatanai Hotel
198,Thatta,PK,75.52,clear sky,24.7475,67.9235,We Care Guest House & Shadi lawn
199,Aripuana,BR,76.59,overcast clouds,-9.1667,-60.6333,
200,Puerto Escondido,MX,87.8,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
201,Galle,LK,76.91,overcast clouds,6.0367,80.217,Amangalla
202,Yeppoon,AU,78.8,broken clouds,-23.1333,150.7333,Villa Mar Colina
205,Ahuimanu,US,78.8,broken clouds,21.4447,-157.8378,Paradise Bay Resort
207,Acapulco,MX,82.4,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
211,Grand Gaube,MU,79.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
213,Poso,ID,75.72,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
214,San Felipe,VE,79.05,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
216,Marawi,PH,75.0,overcast clouds,7.9986,124.2928,Derogongan Residence
229,Puerto Madryn,AR,80.89,overcast clouds,-42.7692,-65.0385,Hotel Tolosa
231,Kampong Thum,KH,75.88,overcast clouds,12.7111,104.8887,Sambor Village Hotel
237,Micheweni,TZ,81.75,clear sky,-4.9667,39.8333,
239,San Lazaro,BZ,86.0,scattered clouds,18.0387,-88.6622,
